2026-01-15 08:00:01 INFO  App started successfully
2026-01-15 08:01:05 INFO  DB connected at localhost:5432
2026-01-15 08:02:14 WARNING  Memory usage high: 78%
2026-01-15 08:03:30 ERROR  Config file not found: /etc/app/config.yaml
2026-01-15 08:05:20 DEBUG  Cache hit ratio: 94.3%
2026-01-15 08:06:45 WARNING  Slow query detected: 3.4s
2026-01-15 08:07:10 ERROR  API timeout: payments.service.io
2024-01-15 08:09:55 CRITICAL  Disk usage 98% on /dev/sda1
2026-01-15 08:10:30 ERROR  NullPointerException in thread-3
2026-01-15 08:12:15 WARNING  SSL certificate expires in 7 days
2026-01-15 08:14:00 ERROR  Invalid login from 203.0.113.42
2026-01-15 08:18:00 INFO  Health check passed
2026-01-15 08:19:22 ERROR  DB connection lost
2026-01-15 08:20:05 INFO  DB reconnected successfully
2026-01-15 08:23:00 INFO  Shutdown complete
